index,seed,family,n,m,delta,Delta,high_degree,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
211,12556,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
212,12557,circulant,15,45,6,6,True,3,3,True,1.0,1.4,4.0,True,True
213,12558,random_regular,9,9,2,2,True,3,3,True,1.0,1.0,4.0,True,True
214,12559,erdos_renyi,8,19,3,6,True,2,2,True,1.0,1.75,4.0,True,True
215,12560,hypercube,16,33,4,5,True,4,4,True,1.0,1.5,4.0,True,True
216,12561,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
217,12562,complete,16,120,15,15,True,1,1,True,1.0,1.0,4.0,True,True
218,12563,cocktail_party,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
219,12564,circulant,8,16,4,4,True,2,2,True,1.0,1.25,4.0,True,True
220,12565,random_regular,11,22,4,4,True,3,3,True,1.0,1.3636,4.0,True,True
221,12566,erdos_renyi,16,77,6,12,True,2,2,True,1.0,1.625,4.0,True,True
222,12567,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
223,12568,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
224,12569,complete,9,36,8,8,True,1,1,True,1.0,1.0,4.0,True,True
225,12570,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
226,12571,circulant,11,55,10,10,True,1,1,True,1.0,1.0,4.0,True,True
227,12572,random_regular,14,49,7,7,True,2,2,True,1.0,1.1429,4.0,True,True
228,12573,erdos_renyi,15,65,6,12,True,2,2,True,1.0,1.7333,4.0,True,True
229,12574,hypercube,16,33,4,5,True,4,4,True,1.0,1.5,4.0,True,True
230,12575,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
231,12576,complete,14,91,13,13,True,1,1,True,1.0,1.0,4.0,True,True
232,12577,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
233,12578,circulant,9,27,6,6,True,2,2,True,1.0,1.5556,4.0,True,True
234,12579,random_regular,11,22,4,4,True,3,3,True,1.0,1.3636,4.0,True,True
235,12580,erdos_renyi,12,45,4,11,True,1,1,True,1.0,1.0,4.0,True,True
236,12581,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
237,12582,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
238,12583,complete,6,15,5,5,True,1,1,True,1.0,1.0,4.0,True,True
239,12584,cocktail_party,6,12,4,4,True,2,2,True,1.0,1.6667,4.0,True,True
240,12585,circulant,11,22,4,4,True,3,3,True,1.0,1.3636,4.0,True,True
241,12586,random_regular,16,64,8,8,True,2,2,True,1.0,1.125,4.0,True,True
242,12587,erdos_renyi,8,21,3,7,True,1,1,True,1.0,1.0,4.0,True,True
243,12588,hypercube,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
244,12589,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
245,12590,complete,8,28,7,7,True,1,1,True,1.0,1.0,4.0,True,True
