index,seed,family,n,m,delta,Delta,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
0,1000,greedy_trap,12,16,1,5,3,3,True,1.0,1.5,4.0,True,True
1,1001,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
2,1002,perfect_code_perturbed,13,27,4,5,3,3,True,1.0,1.3846,4.0,True,True
3,1003,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
4,1004,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
5,1005,random_regular,14,49,7,7,3,3,True,1.0,1.7143,4.0,True,True
6,1006,random_dense,12,20,1,5,3,3,True,1.0,1.5,4.0,True,True
7,1007,greedy_trap,8,11,1,4,2,2,True,1.0,1.25,4.0,True,True
8,1008,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
9,1009,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
10,1010,circulant_efficient,12,48,8,8,2,2,True,1.0,1.5,4.0,True,True
11,1011,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
12,1012,random_regular,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
13,1013,random_dense,14,53,5,10,2,2,True,1.0,1.5714,4.0,True,True
14,1014,greedy_trap,13,18,2,5,4,4,True,1.0,1.8462,4.0,True,True
15,1015,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
16,1016,perfect_code_perturbed,16,34,4,6,4,4,True,1.0,1.75,4.0,True,True
17,1017,circulant_efficient,16,80,10,10,2,2,True,1.0,1.375,4.0,True,True
18,1018,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
19,1019,random_regular,8,20,5,5,2,2,True,1.0,1.5,4.0,True,True
20,1020,random_dense,8,12,1,5,3,3,True,1.0,2.25,4.0,True,True
21,1021,greedy_trap,16,21,1,4,4,4,True,1.0,1.25,4.0,True,True
22,1022,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
23,1023,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
24,1024,circulant_efficient,10,30,6,6,2,2,True,1.0,1.4,4.0,True,True
25,1025,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
26,1026,random_regular,8,16,4,4,2,2,True,1.0,1.25,4.0,True,True
27,1027,random_dense,8,13,2,5,2,2,True,1.0,1.5,4.0,True,True
28,1028,greedy_trap,14,18,1,4,3,3,True,1.0,1.0714,4.0,True,True
29,1029,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
30,1030,perfect_code_perturbed,13,27,4,5,3,3,True,1.0,1.3846,4.0,True,True
31,1031,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
32,1032,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
33,1033,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
34,1034,random_dense,8,15,3,5,2,2,True,1.0,1.5,4.0,True,True
35,1035,greedy_trap,14,16,1,4,4,4,True,1.0,1.4286,4.0,True,True
36,1036,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
37,1037,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
38,1038,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
39,1039,cocktail_multipartite,6,8,2,4,2,2,True,1.0,1.6667,4.0,True,True
40,1040,random_regular,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
41,1041,random_dense,14,24,2,6,4,4,True,1.0,2.0,4.0,True,True
42,1042,greedy_trap,7,7,1,3,2,2,True,1.0,1.1429,4.0,True,True
43,1043,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
44,1044,perfect_code_perturbed,11,24,4,5,2,2,True,1.0,1.0909,4.0,True,True
45,1045,circulant_efficient,10,30,6,6,2,2,True,1.0,1.4,4.0,True,True
46,1046,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
47,1047,random_regular,8,20,5,5,2,2,True,1.0,1.5,4.0,True,True
48,1048,random_dense,12,27,3,7,2,2,True,1.0,1.3333,4.0,True,True
49,1049,greedy_trap,16,17,1,4,4,4,True,1.0,1.25,4.0,True,True
50,1050,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
51,1051,perfect_code_perturbed,8,13,3,4,2,2,True,1.0,1.25,4.0,True,True
52,1052,circulant_efficient,12,48,8,8,2,2,True,1.0,1.5,4.0,True,True
53,1053,cocktail_multipartite,11,40,7,8,2,2,True,1.0,1.6364,4.0,True,True
54,1054,random_regular,8,12,3,3,3,3,True,1.0,1.5,4.0,True,True
55,1055,random_dense,8,9,1,3,3,3,True,1.0,1.5,4.0,True,True
56,1056,greedy_trap,7,8,1,3,2,2,True,1.0,1.1429,4.0,True,True
57,1057,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
58,1058,perfect_code_perturbed,8,13,3,4,2,2,True,1.0,1.25,4.0,True,True
59,1059,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
60,1060,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
61,1061,random_regular,16,40,5,5,4,4,True,1.0,1.5,4.0,True,True
62,1062,random_dense,8,13,2,5,2,2,True,1.0,1.5,4.0,True,True
63,1063,greedy_trap,8,12,1,4,2,2,True,1.0,1.25,4.0,True,True
64,1064,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
65,1065,perfect_code_perturbed,7,15,4,5,2,2,True,1.0,1.7143,4.0,True,True
66,1066,circulant_efficient,16,80,10,10,2,2,True,1.0,1.375,4.0,True,True
67,1067,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
68,1068,random_regular,14,49,7,7,2,2,True,1.0,1.1429,4.0,True,True
69,1069,random_dense,12,40,5,9,2,2,True,1.0,1.6667,4.0,True,True
70,1070,greedy_trap,12,13,1,4,3,3,True,1.0,1.25,4.0,True,True
71,1071,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
72,1072,perfect_code_perturbed,13,28,4,5,3,3,True,1.0,1.3846,4.0,True,True
73,1073,circulant_efficient,14,56,8,8,2,2,True,1.0,1.2857,4.0,True,True
74,1074,cocktail_multipartite,7,16,4,5,2,2,True,1.0,1.7143,4.0,True,True
75,1075,random_regular,14,21,3,3,4,4,True,1.0,1.1429,4.0,True,True
76,1076,random_dense,12,31,3,10,2,2,True,1.0,1.8333,4.0,True,True
77,1077,greedy_trap,14,21,2,6,4,4,True,1.0,2.0,4.0,True,True
78,1078,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
79,1079,perfect_code_perturbed,13,26,4,4,3,3,True,1.0,1.1538,4.0,True,True
80,1080,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
81,1081,cocktail_multipartite,10,40,8,8,2,2,True,1.0,1.8,4.0,True,True
82,1082,random_regular,10,15,3,3,3,3,True,1.0,1.2,4.0,True,True
83,1083,random_dense,10,15,1,5,3,3,True,1.0,1.8,4.0,True,True
84,1084,greedy_trap,16,25,1,6,4,4,True,1.0,1.75,4.0,True,True
85,1085,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
86,1086,perfect_code_perturbed,15,33,4,6,3,3,True,1.0,1.4,4.0,True,True
87,1087,circulant_efficient,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
88,1088,cocktail_multipartite,11,45,8,9,2,2,True,1.0,1.8182,4.0,True,True
89,1089,random_regular,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
90,1090,random_dense,14,30,1,7,3,3,True,1.0,1.7143,4.0,True,True
91,1091,greedy_trap,12,12,1,4,3,3,True,1.0,1.25,4.0,True,True
92,1092,geometric_setcover,16,21,1,6,4,4,True,1.0,1.75,4.0,True,True
93,1093,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
94,1094,circulant_efficient,14,56,8,8,2,2,True,1.0,1.2857,4.0,True,True
95,1095,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
96,1096,random_regular,14,21,3,3,4,4,True,1.0,1.1429,4.0,True,True
97,1097,random_dense,16,43,2,8,3,3,True,1.0,1.6875,4.0,True,True
98,1098,greedy_trap,9,14,2,4,2,2,True,1.0,1.1111,4.0,True,True
99,1099,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
100,1100,perfect_code_perturbed,9,19,4,5,2,2,True,1.0,1.3333,4.0,True,True
101,1101,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
102,1102,cocktail_multipartite,8,16,4,4,2,2,True,1.0,1.25,4.0,True,True
103,1103,random_regular,14,49,7,7,2,2,True,1.0,1.1429,4.0,True,True
104,1104,random_dense,12,33,2,8,2,2,True,1.0,1.5,4.0,True,True
105,1105,greedy_trap,7,9,2,4,2,2,True,1.0,1.4286,4.0,True,True
106,1106,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
107,1107,perfect_code_perturbed,9,21,4,6,2,2,True,1.0,1.5556,4.0,True,True
108,1108,circulant_efficient,12,48,8,8,2,2,True,1.0,1.5,4.0,True,True
109,1109,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
110,1110,random_regular,14,28,4,4,4,4,True,1.0,1.4286,4.0,True,True
111,1111,random_dense,10,20,2,7,2,2,True,1.0,1.6,4.0,True,True
112,1112,greedy_trap,12,13,1,4,3,3,True,1.0,1.25,4.0,True,True
113,1113,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
114,1114,perfect_code_perturbed,13,27,4,5,3,3,True,1.0,1.3846,4.0,True,True
115,1115,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
116,1116,cocktail_multipartite,11,40,7,8,2,2,True,1.0,1.6364,4.0,True,True
117,1117,random_regular,14,21,3,3,4,4,True,1.0,1.1429,4.0,True,True
118,1118,random_dense,10,28,4,8,2,2,True,1.0,1.8,4.0,True,True
119,1119,greedy_trap,10,17,1,5,2,2,True,1.0,1.2,4.0,True,True
120,1120,geometric_setcover,10,10,1,3,4,4,True,1.0,1.6,4.0,True,True
121,1121,perfect_code_perturbed,9,18,4,4,2,2,True,1.0,1.1111,4.0,True,True
122,1122,circulant_efficient,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
123,1123,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
124,1124,random_regular,8,20,5,5,2,2,True,1.0,1.5,4.0,True,True
125,1125,random_dense,10,29,3,8,2,2,True,1.0,1.8,4.0,True,True
126,1126,greedy_trap,9,11,2,3,3,3,True,1.0,1.3333,4.0,True,True
127,1127,geometric_setcover,16,21,1,6,4,4,True,1.0,1.75,4.0,True,True
128,1128,perfect_code_perturbed,8,15,3,5,2,2,True,1.0,1.5,4.0,True,True
129,1129,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
130,1130,cocktail_multipartite,13,63,9,10,2,2,True,1.0,1.6923,4.0,True,True
131,1131,random_regular,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
132,1132,random_dense,16,70,5,12,2,2,True,1.0,1.625,4.0,True,True
133,1133,greedy_trap,11,15,1,5,3,3,True,1.0,1.6364,4.0,True,True
134,1134,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
135,1135,perfect_code_perturbed,9,19,4,5,2,2,True,1.0,1.3333,4.0,True,True
136,1136,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
137,1137,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
138,1138,random_regular,12,30,5,5,3,3,True,1.0,1.5,4.0,True,True
139,1139,random_dense,8,11,1,5,2,2,True,1.0,1.5,4.0,True,True
140,1140,greedy_trap,13,18,1,4,3,3,True,1.0,1.1538,4.0,True,True
141,1141,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
142,1142,perfect_code_perturbed,8,14,3,5,2,2,True,1.0,1.5,4.0,True,True
143,1143,circulant_efficient,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
144,1144,cocktail_multipartite,8,21,5,6,2,2,True,1.0,1.75,4.0,True,True
145,1145,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
146,1146,random_dense,14,59,6,11,2,2,True,1.0,1.7143,4.0,True,True
147,1147,greedy_trap,8,12,2,4,2,2,True,1.0,1.25,4.0,True,True
148,1148,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
149,1149,perfect_code_perturbed,11,23,4,5,2,2,True,1.0,1.0909,4.0,True,True
150,1150,circulant_efficient,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
151,1151,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
152,1152,random_regular,16,24,3,3,5,5,True,1.0,1.25,4.0,True,True
153,1153,random_dense,8,15,2,5,2,2,True,1.0,1.5,4.0,True,True
154,1154,greedy_trap,15,22,2,4,4,4,True,1.0,1.3333,4.0,True,True
155,1155,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
156,1156,perfect_code_perturbed,13,27,4,5,3,3,True,1.0,1.3846,4.0,True,True
157,1157,circulant_efficient,16,48,6,6,3,3,True,1.0,1.3125,4.0,True,True
158,1158,cocktail_multipartite,5,6,2,3,2,2,True,1.0,1.6,4.0,True,True
159,1159,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
160,1160,random_dense,14,50,5,10,2,2,True,1.0,1.5714,4.0,True,True
161,1161,greedy_trap,15,23,2,6,4,4,True,1.0,1.8667,4.0,True,True
162,1162,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
163,1163,perfect_code_perturbed,16,34,4,5,4,4,True,1.0,1.5,4.0,True,True
164,1164,circulant_efficient,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
165,1165,cocktail_multipartite,7,12,3,4,2,2,True,1.0,1.4286,4.0,True,True
166,1166,random_regular,8,20,5,5,2,2,True,1.0,1.5,4.0,True,True
167,1167,random_dense,10,22,3,6,2,2,True,1.0,1.4,4.0,True,True
168,1168,greedy_trap,16,23,1,4,4,4,True,1.0,1.25,4.0,True,True
169,1169,geometric_setcover,10,10,1,3,4,4,True,1.0,1.6,4.0,True,True
170,1170,perfect_code_perturbed,8,13,3,4,2,2,True,1.0,1.25,4.0,True,True
171,1171,circulant_efficient,16,80,10,10,2,2,True,1.0,1.375,4.0,True,True
172,1172,cocktail_multipartite,12,53,8,10,2,2,True,1.0,1.8333,4.0,True,True
173,1173,random_regular,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
174,1174,random_dense,10,14,1,5,3,3,True,1.0,1.8,4.0,True,True
175,1175,greedy_trap,14,19,1,4,3,3,True,1.0,1.0714,4.0,True,True
176,1176,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
177,1177,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
178,1178,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
179,1179,cocktail_multipartite,8,16,4,4,2,2,True,1.0,1.25,4.0,True,True
180,1180,random_regular,14,49,7,7,2,2,True,1.0,1.1429,4.0,True,True
181,1181,random_dense,12,25,2,9,3,3,True,1.0,2.5,4.0,True,True
182,1182,greedy_trap,14,19,1,4,4,4,True,1.0,1.4286,4.0,True,True
183,1183,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
184,1184,perfect_code_perturbed,11,22,4,4,3,3,True,1.0,1.3636,4.0,True,True
185,1185,circulant_efficient,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
186,1186,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
187,1187,random_regular,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
188,1188,random_dense,16,63,5,13,2,2,True,1.0,1.75,4.0,True,True
189,1189,greedy_trap,16,22,1,6,4,4,True,1.0,1.75,4.0,True,True
190,1190,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
191,1191,perfect_code_perturbed,16,34,4,5,4,4,True,1.0,1.5,4.0,True,True
192,1192,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
193,1193,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
194,1194,random_regular,12,18,3,3,4,4,True,1.0,1.3333,4.0,True,True
195,1195,random_dense,12,28,2,7,2,2,True,1.0,1.3333,4.0,True,True
196,1196,greedy_trap,8,11,2,3,2,2,True,1.0,1.0,4.0,True,True
197,1197,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
198,1198,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
199,1199,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
200,1200,cocktail_multipartite,13,62,9,11,2,2,True,1.0,1.8462,4.0,True,True
201,1201,random_regular,10,20,4,4,3,3,True,1.0,1.5,4.0,True,True
202,1202,random_dense,12,45,5,11,1,1,True,1.0,1.0,4.0,True,True
203,1203,greedy_trap,7,9,1,4,2,2,True,1.0,1.4286,4.0,True,True
204,1204,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
205,1205,perfect_code_perturbed,13,28,4,5,3,3,True,1.0,1.3846,4.0,True,True
206,1206,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
207,1207,cocktail_multipartite,5,6,2,3,2,2,True,1.0,1.6,4.0,True,True
208,1208,random_regular,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
209,1209,random_dense,16,31,1,7,5,5,True,1.0,2.5,4.0,True,True
210,1210,greedy_trap,9,13,2,4,2,2,True,1.0,1.1111,4.0,True,True
211,1211,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
212,1212,perfect_code_perturbed,11,24,4,5,2,2,True,1.0,1.0909,4.0,True,True
213,1213,circulant_efficient,16,48,6,6,3,3,True,1.0,1.3125,4.0,True,True
214,1214,cocktail_multipartite,11,44,7,9,2,2,True,1.0,1.8182,4.0,True,True
215,1215,random_regular,14,49,7,7,2,2,True,1.0,1.1429,4.0,True,True
216,1216,random_dense,16,45,4,9,3,3,True,1.0,1.875,4.0,True,True
217,1217,greedy_trap,8,13,2,4,2,2,True,1.0,1.25,4.0,True,True
218,1218,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
219,1219,perfect_code_perturbed,15,32,4,5,3,3,True,1.0,1.2,4.0,True,True
220,1220,circulant_efficient,14,56,8,8,2,2,True,1.0,1.2857,4.0,True,True
221,1221,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
222,1222,random_regular,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
223,1223,random_dense,14,40,2,8,3,3,True,1.0,1.9286,4.0,True,True
224,1224,greedy_trap,8,12,2,4,2,2,True,1.0,1.25,4.0,True,True
225,1225,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
226,1226,perfect_code_perturbed,8,13,3,4,2,2,True,1.0,1.25,4.0,True,True
227,1227,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
228,1228,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
229,1229,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
230,1230,random_dense,16,82,7,13,2,2,True,1.0,1.75,4.0,True,True
231,1231,greedy_trap,12,18,1,5,3,3,True,1.0,1.5,4.0,True,True
232,1232,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
233,1233,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
234,1234,circulant_efficient,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
235,1235,cocktail_multipartite,11,40,7,8,2,2,True,1.0,1.6364,4.0,True,True
236,1236,random_regular,16,64,8,8,3,3,True,1.0,1.6875,4.0,True,True
237,1237,random_dense,10,26,3,7,2,2,True,1.0,1.6,4.0,True,True
238,1238,greedy_trap,7,8,2,3,2,2,True,1.0,1.1429,4.0,True,True
239,1239,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
240,1240,perfect_code_perturbed,11,22,4,4,3,3,True,1.0,1.3636,4.0,True,True
241,1241,circulant_efficient,16,48,6,6,3,3,True,1.0,1.3125,4.0,True,True
242,1242,cocktail_multipartite,10,40,8,8,2,2,True,1.0,1.8,4.0,True,True
243,1243,random_regular,16,40,5,5,3,3,True,1.0,1.125,4.0,True,True
244,1244,random_dense,12,43,6,8,2,2,True,1.0,1.5,4.0,True,True
245,1245,greedy_trap,16,19,1,4,4,4,True,1.0,1.25,4.0,True,True
246,1246,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
247,1247,perfect_code_perturbed,7,14,4,4,2,2,True,1.0,1.4286,4.0,True,True
248,1248,circulant_efficient,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
249,1249,cocktail_multipartite,10,37,7,8,2,2,True,1.0,1.8,4.0,True,True
250,1250,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
251,1251,random_dense,16,72,6,12,2,2,True,1.0,1.625,4.0,True,True
252,1252,greedy_trap,12,17,1,4,3,3,True,1.0,1.25,4.0,True,True
253,1253,geometric_setcover,13,15,1,4,3,3,True,1.0,1.1538,4.0,True,True
254,1254,perfect_code_perturbed,16,35,4,6,4,4,True,1.0,1.75,4.0,True,True
255,1255,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
256,1256,cocktail_multipartite,7,12,3,4,2,2,True,1.0,1.4286,4.0,True,True
257,1257,random_regular,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
258,1258,random_dense,10,30,4,8,2,2,True,1.0,1.8,4.0,True,True
259,1259,greedy_trap,13,20,1,4,3,3,True,1.0,1.1538,4.0,True,True
260,1260,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
261,1261,perfect_code_perturbed,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
262,1262,circulant_efficient,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
263,1263,cocktail_multipartite,5,6,2,3,2,2,True,1.0,1.6,4.0,True,True
264,1264,random_regular,8,16,4,4,2,2,True,1.0,1.25,4.0,True,True
265,1265,random_dense,8,13,1,5,2,2,True,1.0,1.5,4.0,True,True
266,1266,greedy_trap,15,18,1,4,4,4,True,1.0,1.3333,4.0,True,True
267,1267,geometric_setcover,10,10,1,3,4,4,True,1.0,1.6,4.0,True,True
268,1268,perfect_code_perturbed,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
269,1269,circulant_efficient,14,56,8,8,2,2,True,1.0,1.2857,4.0,True,True
270,1270,cocktail_multipartite,5,6,2,3,2,2,True,1.0,1.6,4.0,True,True
271,1271,random_regular,12,18,3,3,4,4,True,1.0,1.3333,4.0,True,True
272,1272,random_dense,10,26,3,7,2,2,True,1.0,1.6,4.0,True,True
273,1273,greedy_trap,16,26,1,6,3,3,True,1.0,1.3125,4.0,True,True
274,1274,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
275,1275,perfect_code_perturbed,15,31,4,5,3,3,True,1.0,1.2,4.0,True,True
276,1276,circulant_efficient,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
277,1277,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
278,1278,random_regular,8,12,3,3,3,3,True,1.0,1.5,4.0,True,True
279,1279,random_dense,14,49,5,9,2,2,True,1.0,1.4286,4.0,True,True
280,1280,greedy_trap,15,22,1,5,4,4,True,1.0,1.6,4.0,True,True
281,1281,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
282,1282,perfect_code_perturbed,8,13,3,4,2,2,True,1.0,1.25,4.0,True,True
283,1283,circulant_efficient,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
284,1284,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
285,1285,random_regular,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
286,1286,random_dense,12,26,1,7,3,3,True,1.0,2.0,4.0,True,True
287,1287,greedy_trap,9,9,1,3,3,3,True,1.0,1.3333,4.0,True,True
288,1288,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
289,1289,perfect_code_perturbed,9,21,4,6,2,2,True,1.0,1.5556,4.0,True,True
290,1290,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
291,1291,cocktail_multipartite,9,26,5,7,2,2,True,1.0,1.7778,4.0,True,True
292,1292,random_regular,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
293,1293,random_dense,12,45,6,9,2,2,True,1.0,1.6667,4.0,True,True
294,1294,greedy_trap,11,15,2,5,3,3,True,1.0,1.6364,4.0,True,True
295,1295,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
296,1296,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
297,1297,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
298,1298,cocktail_multipartite,7,12,3,4,2,2,True,1.0,1.4286,4.0,True,True
299,1299,random_regular,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
300,1300,random_dense,12,28,2,6,3,3,True,1.0,1.75,4.0,True,True
301,1301,greedy_trap,13,16,1,4,3,3,True,1.0,1.1538,4.0,True,True
302,1302,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
303,1303,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
304,1304,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
305,1305,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
306,1306,random_regular,14,21,3,3,4,4,True,1.0,1.1429,4.0,True,True
307,1307,random_dense,16,51,4,10,3,3,True,1.0,2.0625,4.0,True,True
308,1308,greedy_trap,13,16,1,5,3,3,True,1.0,1.3846,4.0,True,True
309,1309,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
310,1310,perfect_code_perturbed,15,32,4,5,3,3,True,1.0,1.2,4.0,True,True
311,1311,circulant_efficient,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
312,1312,cocktail_multipartite,13,62,9,11,2,2,True,1.0,1.8462,4.0,True,True
313,1313,random_regular,16,64,8,8,3,3,True,1.0,1.6875,4.0,True,True
314,1314,random_dense,14,30,2,7,3,3,True,1.0,1.7143,4.0,True,True
315,1315,greedy_trap,13,18,2,4,3,3,True,1.0,1.1538,4.0,True,True
316,1316,geometric_setcover,13,15,1,4,3,3,True,1.0,1.1538,4.0,True,True
317,1317,perfect_code_perturbed,11,22,4,4,3,3,True,1.0,1.3636,4.0,True,True
318,1318,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
319,1319,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
320,1320,random_regular,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
321,1321,random_dense,16,80,8,13,2,2,True,1.0,1.75,4.0,True,True
322,1322,greedy_trap,11,14,1,3,3,3,True,1.0,1.0909,4.0,True,True
