index,seed,family,n,m,delta,Delta,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
5366,6366,cocktail_multipartite,13,62,9,11,2,2,True,1.0,1.8462,4.0,True,True
5367,6367,random_regular,14,21,3,3,4,4,True,1.0,1.1429,4.0,True,True
5368,6368,random_dense,12,33,2,8,2,2,True,1.0,1.5,4.0,True,True
5369,6369,greedy_trap,6,9,2,4,2,2,True,1.0,1.6667,4.0,True,True
5370,6370,geometric_setcover,13,15,1,4,5,5,True,1.0,1.9231,4.0,True,True
5371,6371,perfect_code_perturbed,9,19,4,5,2,2,True,1.0,1.3333,4.0,True,True
5372,6372,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
5373,6373,cocktail_multipartite,7,12,3,4,2,2,True,1.0,1.4286,4.0,True,True
5374,6374,random_regular,16,40,5,5,3,3,True,1.0,1.125,4.0,True,True
5375,6375,random_dense,16,85,9,13,2,2,True,1.0,1.75,4.0,True,True
5376,6376,greedy_trap,14,21,2,6,4,4,True,1.0,2.0,4.0,True,True
5377,6377,geometric_setcover,16,21,1,6,4,4,True,1.0,1.75,4.0,True,True
5378,6378,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
5379,6379,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
5380,6380,cocktail_multipartite,8,21,5,6,2,2,True,1.0,1.75,4.0,True,True
5381,6381,random_regular,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
5382,6382,random_dense,12,31,2,8,2,2,True,1.0,1.5,4.0,True,True
5383,6383,greedy_trap,11,15,1,5,3,3,True,1.0,1.6364,4.0,True,True
5384,6384,geometric_setcover,10,10,1,3,4,4,True,1.0,1.6,4.0,True,True
5385,6385,perfect_code_perturbed,7,14,4,4,2,2,True,1.0,1.4286,4.0,True,True
5386,6386,circulant_efficient,12,48,8,8,2,2,True,1.0,1.5,4.0,True,True
5387,6387,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
5388,6388,random_regular,14,35,5,5,3,3,True,1.0,1.2857,4.0,True,True
5389,6389,random_dense,14,35,3,8,3,3,True,1.0,1.9286,4.0,True,True
5390,6390,greedy_trap,9,14,2,4,2,2,True,1.0,1.1111,4.0,True,True
5391,6391,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
5392,6392,perfect_code_perturbed,16,34,4,5,4,4,True,1.0,1.5,4.0,True,True
5393,6393,circulant_efficient,14,56,8,8,2,2,True,1.0,1.2857,4.0,True,True
5394,6394,cocktail_multipartite,10,40,8,8,2,2,True,1.0,1.8,4.0,True,True
5395,6395,random_regular,16,40,5,5,3,3,True,1.0,1.125,4.0,True,True
5396,6396,random_dense,10,15,1,4,3,3,True,1.0,1.5,4.0,True,True
5397,6397,greedy_trap,6,6,1,3,2,2,True,1.0,1.3333,4.0,True,True
5398,6398,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
5399,6399,perfect_code_perturbed,13,26,4,4,3,3,True,1.0,1.1538,4.0,True,True
5400,6400,circulant_efficient,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
5401,6401,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
5402,6402,random_regular,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
5403,6403,random_dense,10,29,5,7,2,2,True,1.0,1.6,4.0,True,True
5404,6404,greedy_trap,16,22,1,5,4,4,True,1.0,1.5,4.0,True,True
5405,6405,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
5406,6406,perfect_code_perturbed,7,14,4,4,2,2,True,1.0,1.4286,4.0,True,True
5407,6407,circulant_efficient,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
5408,6408,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
5409,6409,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
5410,6410,random_dense,16,49,2,9,3,3,True,1.0,1.875,4.0,True,True
5411,6411,greedy_trap,12,15,1,4,3,3,True,1.0,1.25,4.0,True,True
5412,6412,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
5413,6413,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
5414,6414,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
5415,6415,cocktail_multipartite,10,40,8,8,2,2,True,1.0,1.8,4.0,True,True
5416,6416,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
5417,6417,random_dense,16,49,2,9,3,3,True,1.0,1.875,4.0,True,True
5418,6418,greedy_trap,11,13,1,3,3,3,True,1.0,1.0909,4.0,True,True
5419,6419,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
5420,6420,perfect_code_perturbed,8,13,3,4,2,2,True,1.0,1.25,4.0,True,True
5421,6421,circulant_efficient,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
